iter	RMSE
0	1.006757191
1	0.9936967752
2	0.9808701523
3	0.968553225
4	0.9572319122
5	0.9459013261
6	0.9350921775
7	0.9252885815
8	0.9158813867
9	0.9061086599
10	0.8970790663
11	0.8880558151
12	0.8796947896
13	0.8713255442
14	0.8632075041
15	0.8555952622
16	0.8484979469
17	0.8412702857
18	0.834506536
19	0.8285130531
20	0.8221804247
21	0.8160705526
22	0.8104673072
23	0.8050586607
24	0.7998412213
25	0.7947537587
26	0.7898907032
27	0.7850900639
28	0.7806363596
29	0.7762230289
30	0.7719338745
31	0.7679887708
32	0.7643565089
33	0.7608306119
34	0.7570758936
35	0.7537947464
36	0.7501999428
37	0.7469222074
38	0.7435889783
39	0.740559535
40	0.7377726622
41	0.734900842
42	0.7322184826
43	0.7295980235
44	0.7270338068
45	0.7245026809
46	0.7223347873
47	0.7198643743
48	0.7175185172
49	0.7152204573
50	0.7133023465
51	0.7112081634
52	0.7095005532
53	0.7076746779
54	0.7060426192
55	0.7044534704
56	0.7028063045
57	0.7013132834
58	0.6997788967
59	0.6981526761
60	0.6967139703
61	0.6954401969
62	0.693922548
63	0.6924628169
64	0.6909515389
65	0.6896184192
66	0.6880350328
67	0.6866352912
68	0.6851170206
69	0.6837844429
70	0.682668338
71	0.6814686782
72	0.6801204068
73	0.6787412317
74	0.677622527
75	0.6762888231
76	0.6750277448
77	0.674098457
78	0.6731057882
79	0.6722792412
80	0.6713480366
81	0.6702824692
82	0.6693275422
83	0.6684367261
84	0.6674359042
85	0.6665934355
86	0.6654112274
87	0.6645014582
88	0.6635999183
89	0.6626329872
90	0.6620557413
91	0.6611428113
92	0.6602474392
93	0.65944154
94	0.6586203125
95	0.6577857415
96	0.6569839229
97	0.6563013195
98	0.655609171
99	0.6549662359
100	0.6541525811
101	0.6534103187
102	0.6528434353
103	0.6521778676
104	0.6515803446
105	0.6509203493
106	0.65025421
107	0.6496340164
108	0.6491215209
109	0.6485057476
110	0.6479333131
111	0.6473495312
112	0.6467013636
113	0.6461316318
114	0.6456578536
115	0.6451879432
116	0.6446457305
117	0.6441860688
118	0.6436859558
119	0.6432783193
120	0.6427854659
121	0.642368343
122	0.6419284567
123	0.6415709658
124	0.6411036163
125	0.6407765817
126	0.6403386079
127	0.6398892405
128	0.6393141409
129	0.6388540045
130	0.6385477062
131	0.6381890243
132	0.6377177347
133	0.6372375472
134	0.636749417
135	0.6363506808
136	0.6360391181
137	0.6356999224
138	0.6353769694
139	0.6350653045
140	0.6347540152
141	0.634436429
142	0.6341461813
143	0.6338750763
144	0.6334689093
145	0.6330383588
146	0.6327313897
147	0.6324370118
148	0.6321098901
149	0.6318273283
150	0.6315127462
151	0.6311770065
152	0.6309692744
153	0.6306054959
154	0.6303208168
155	0.6299819973
156	0.6297343207
157	0.6294715547
158	0.6291596399
159	0.6287761686
160	0.6283836983
161	0.6280682292
162	0.6277650482
163	0.6275962458
164	0.6274431633
165	0.6271651864
166	0.6269149469
167	0.6266055722
168	0.6262572412
169	0.6260086501
170	0.6257039716
171	0.625464528
172	0.6251816851
173	0.6249886624
174	0.624695173
175	0.6243929151
176	0.6241427812
177	0.6238813662
178	0.6236350073
179	0.6233256343
180	0.623100949
181	0.6228677372
182	0.6225705949
183	0.622207976
184	0.6219277714
185	0.6216589017
186	0.6213898775
187	0.6212481195
188	0.621036454
189	0.6207310928
190	0.6206122964
191	0.6204854331
192	0.6203271831
193	0.6200550057
194	0.6198810648
195	0.6196026435
196	0.6194162007
197	0.6192529351
198	0.619095483
199	0.6189206846
200	0.6187116907
201	0.6183995919
202	0.6182485285
203	0.6180360179
204	0.6178508087
205	0.6176208568
206	0.6172872893
207	0.6170030712
208	0.6168018097
209	0.6165767252
210	0.616410502
211	0.616233407
212	0.6160714684
213	0.6158935279
214	0.6157266556
215	0.6154803056
216	0.6151999227
217	0.6150458885
218	0.6148695037
219	0.6146270421
220	0.6144640803
221	0.6142460804
222	0.6141246742
223	0.6139085584
224	0.6137666678
225	0.613613381
226	0.6134766198
227	0.6133455508
228	0.6131907742
229	0.6129292011
230	0.6127986029
231	0.6125369626
232	0.612306936
233	0.6122083296
234	0.6118907735
235	0.6117625842
236	0.6116335689
237	0.6114577663
238	0.6113361961
239	0.6111629001
240	0.6109257437
241	0.6107704541
242	0.6106685458
243	0.6104940884
244	0.6102245076
245	0.6100800408
246	0.6099530954
247	0.6097484649
248	0.6096030214
249	0.6094573471
250	0.609276766
251	0.6090561805
252	0.6088052943
253	0.60862405
254	0.6084489817
255	0.6083265904
256	0.6081651336
257	0.6079661116
258	0.6078698885
259	0.6076924216
260	0.6075514894
261	0.6074580693
262	0.607402547
263	0.6072522544
264	0.6070686484
265	0.6069491627
266	0.6067892648
267	0.6066837589
268	0.6064570502
269	0.6062612087
270	0.6061035348
271	0.6059996482
272	0.6059376799
273	0.6056912856
274	0.6055191543
275	0.6053972281
276	0.6051543654
277	0.6050395631
278	0.6049383386
279	0.6048129859
280	0.6046468786
281	0.6045446535
282	0.6043681402
283	0.6042571501
284	0.6041511059
285	0.604066597
286	0.6039504976
287	0.603828567
288	0.6036772737
289	0.6035454428
290	0.6034532992
291	0.6033531979
292	0.6032154363
293	0.603126314
294	0.6029841156
295	0.6028453212
296	0.6026871905
297	0.6024901031
298	0.6024386224
299	0.6021648803
300	0.6021325511
301	0.601929155
302	0.6018635584
303	0.6018141244
304	0.6016725677
305	0.6014410069
306	0.6013258906
307	0.6012479057
308	0.6011191093
309	0.6009261271
310	0.6007094281
311	0.6006595148
312	0.6005383899
313	0.6004025441
314	0.6002799026
315	0.6001514464
316	0.6000997168
317	0.5999005608
318	0.5997900332
319	0.5996326475
320	0.5994917954
321	0.5992543873
322	0.5991271814
323	0.598873598
324	0.5987440029
325	0.5985804762
326	0.5984513057
327	0.598277653
328	0.598181236
329	0.5980374359
330	0.5978909251
331	0.5978000926
332	0.5976642964
333	0.5975245464
334	0.5973740365
335	0.5972367543
336	0.5971083237
337	0.5968289492
338	0.596589246
339	0.5964667623
340	0.5962623776
341	0.5961683878
342	0.5960343671
343	0.5959185008
344	0.5957726852
345	0.5956238253
346	0.5954565865
347	0.5953461003
348	0.5952221676
349	0.595102777
350	0.594958527
351	0.5947963284
352	0.5946698885
353	0.5945701072
354	0.5944380574
355	0.594305443
356	0.5941731385
357	0.5939808955
358	0.5938485481
359	0.5937429659
360	0.593567623
361	0.5934033273
362	0.5932872919
363	0.5931738425
364	0.5930988748
