iter	Passed	Remaining
0	9	19123
1	17	17358
2	24	16605
3	32	16072
4	39	15889
5	47	15662
6	54	15446
7	61	15351
8	68	15222
9	76	15148
10	83	15011
11	90	14974
12	97	14954
13	105	14947
14	112	14882
15	120	14896
16	127	14836
17	134	14769
18	141	14776
19	149	14773
20	156	14762
21	164	14774
22	171	14757
23	179	14757
24	186	14730
25	193	14696
26	200	14682
27	208	14683
28	216	14682
29	222	14640
30	229	14592
31	236	14555
32	243	14535
33	251	14524
34	258	14489
35	264	14442
36	271	14400
37	278	14377
38	285	14333
39	293	14400
40	300	14372
41	307	14348
42	314	14315
43	325	14467
44	334	14521
45	342	14539
46	349	14515
47	356	14482
48	363	14469
49	369	14425
50	377	14411
51	383	14380
52	390	14355
53	397	14325
54	404	14301
55	411	14271
56	417	14242
57	424	14219
58	431	14191
59	438	14178
60	445	14158
61	452	14129
62	458	14102
63	465	14094
64	472	14067
65	482	14146
66	492	14221
67	502	14283
68	511	14307
69	520	14347
70	530	14409
71	538	14431
72	548	14489
73	557	14510
74	565	14515
75	573	14515
76	581	14528
77	594	14654
78	605	14731
79	613	14721
80	621	14714
81	628	14693
82	634	14664
83	640	14615
84	647	14594
85	654	14569
86	661	14553
87	668	14520
88	675	14494
89	682	14476
90	688	14436
91	694	14405
92	701	14393
93	708	14366
94	715	14340
95	722	14331
96	728	14299
97	735	14277
98	742	14255
99	748	14212
100	757	14236
101	763	14210
102	770	14193
103	777	14166
104	783	14137
105	789	14105
106	795	14081
107	802	14061
108	808	14022
109	815	14009
110	821	13988
111	830	14000
112	837	13988
113	844	13973
114	851	13950
115	857	13926
116	864	13914
117	870	13889
118	877	13869
119	883	13839
120	889	13808
121	895	13785
122	902	13778
123	909	13753
124	915	13735
125	922	13716
126	928	13700
127	934	13674
128	941	13658
129	947	13636
130	953	13609
131	960	13592
132	967	13583
133	975	13583
134	982	13573
135	988	13553
136	995	13533
137	1001	13506
138	1007	13489
139	1013	13465
140	1019	13444
141	1026	13425
142	1032	13401
143	1038	13384
144	1045	13374
145	1052	13367
146	1059	13360
147	1066	13342
148	1072	13325
149	1079	13316
150	1086	13305
151	1092	13285
152	1099	13270
153	1105	13255
154	1113	13251
155	1120	13242
156	1126	13227
157	1132	13208
158	1139	13192
159	1147	13191
160	1154	13184
161	1160	13169
162	1167	13152
163	1172	13131
164	1178	13109
165	1186	13110
166	1193	13099
167	1200	13092
168	1208	13090
169	1215	13079
170	1221	13065
171	1227	13045
172	1234	13035
173	1240	13021
174	1247	13006
175	1254	12997
176	1261	12993
177	1268	12988
178	1276	12986
179	1284	12984
180	1290	12971
181	1296	12953
182	1304	12953
183	1311	12941
184	1317	12930
185	1324	12917
186	1331	12909
187	1337	12895
188	1343	12875
189	1351	12871
190	1357	12855
191	1363	12841
192	1370	12829
193	1376	12815
194	1383	12801
195	1389	12787
196	1395	12773
197	1402	12765
198	1408	12745
199	1414	12730
200	1421	12726
201	1429	12721
202	1435	12707
203	1442	12697
204	1448	12687
205	1455	12677
206	1462	12668
207	1470	12666
208	1476	12655
209	1483	12648
210	1490	12638
211	1497	12627
212	1503	12614
213	1510	12606
214	1517	12595
215	1524	12589
216	1531	12584
217	1538	12576
218	1545	12567
219	1552	12559
220	1559	12550
221	1566	12546
222	1573	12536
223	1579	12526
224	1586	12515
225	1593	12506
226	1599	12490
227	1605	12476
228	1611	12465
229	1618	12458
230	1625	12444
231	1632	12439
232	1639	12436
233	1646	12424
234	1653	12420
235	1660	12409
236	1666	12394
237	1672	12381
238	1678	12367
239	1685	12361
240	1692	12354
241	1699	12343
242	1705	12330
243	1712	12324
244	1720	12322
245	1727	12316
246	1734	12306
247	1741	12300
248	1748	12294
249	1755	12286
250	1762	12278
251	1768	12268
252	1776	12264
253	1783	12260
254	1790	12254
255	1798	12250
256	1804	12238
257	1812	12236
258	1818	12224
259	1825	12215
260	1832	12208
261	1838	12197
262	1845	12185
263	1851	12177
264	1858	12170
265	1866	12169
266	1874	12165
267	1880	12154
268	1887	12147
269	1894	12139
270	1900	12128
271	1907	12119
272	1914	12108
273	1921	12102
274	1927	12093
275	1934	12080
276	1940	12072
277	1947	12065
278	1954	12058
279	1961	12049
280	1968	12039
281	1974	12028
282	1981	12021
283	1987	12011
284	1994	11999
285	2000	11989
286	2008	11986
287	2015	11978
288	2022	11971
289	2028	11961
290	2035	11951
291	2041	11940
292	2047	11930
293	2054	11920
294	2060	11909
295	2067	11901
296	2074	11895
297	2082	11891
298	2088	11880
299	2096	11878
300	2102	11865
301	2109	11859
302	2115	11848
303	2121	11837
304	2128	11829
305	2136	11828
306	2142	11815
307	2149	11806
308	2156	11801
309	2164	11798
310	2171	11791
311	2177	11783
312	2184	11775
313	2191	11768
314	2197	11755
315	2205	11751
316	2212	11744
317	2219	11738
318	2226	11731
319	2233	11726
320	2240	11719
321	2248	11716
322	2255	11708
323	2264	11713
324	2271	11704
325	2278	11697
326	2285	11692
327	2292	11683
328	2299	11676
329	2306	11672
330	2314	11668
331	2320	11658
332	2327	11651
333	2334	11642
334	2340	11634
335	2347	11625
336	2353	11614
337	2361	11610
338	2367	11600
339	2374	11593
340	2382	11590
341	2388	11580
342	2396	11577
343	2403	11570
344	2410	11565
345	2418	11561
346	2425	11553
347	2432	11545
348	2439	11538
349	2446	11531
350	2452	11521
351	2458	11512
352	2465	11502
353	2471	11493
354	2478	11485
355	2485	11475
356	2491	11466
357	2497	11455
358	2504	11446
359	2511	11440
360	2518	11433
361	2525	11427
362	2532	11421
363	2539	11413
364	2546	11406
365	2553	11400
366	2560	11393
367	2567	11385
368	2574	11381
369	2582	11376
370	2589	11369
371	2596	11363
372	2603	11354
373	2610	11348
374	2617	11341
375	2624	11336
376	2631	11330
377	2638	11322
378	2645	11313
379	2652	11306
380	2658	11298
381	2665	11291
382	2672	11282
383	2678	11274
384	2686	11267
385	2692	11258
386	2699	11249
387	2706	11243
388	2713	11235
389	2719	11225
390	2725	11217
391	2732	11209
392	2739	11203
393	2747	11198
394	2754	11194
395	2761	11186
396	2768	11178
397	2772	11161
398	2779	11152
399	2785	11143
400	2793	11138
401	2800	11133
402	2808	11129
403	2815	11121
404	2821	11112
405	2829	11109
406	2836	11100
407	2842	11090
408	2849	11085
409	2855	11072
410	2862	11067
411	2868	11058
412	2876	11053
413	2883	11045
414	2890	11038
415	2896	11029
416	2903	11021
417	2909	11010
418	2915	11001
419	2922	10992
420	2929	10986
421	2935	10975
422	2942	10969
423	2948	10960
424	2954	10948
425	2961	10941
426	2968	10936
427	2976	10933
428	2983	10926
429	2989	10913
430	2996	10907
431	3003	10899
432	3008	10887
433	3015	10880
434	3021	10871
435	3028	10864
436	3036	10860
437	3044	10856
438	3051	10849
439	3055	10831
440	3063	10829
441	3069	10820
442	3075	10810
443	3082	10804
444	3090	10799
445	3096	10790
446	3104	10785
447	3111	10778
448	3117	10768
449	3123	10759
450	3129	10750
451	3136	10740
452	3142	10732
453	3149	10725
454	3155	10714
455	3162	10707
456	3169	10700
457	3175	10691
458	3181	10680
459	3186	10668
460	3193	10662
461	3200	10655
462	3206	10643
463	3213	10637
464	3220	10630
465	3226	10621
466	3234	10617
467	3241	10610
468	3250	10611
469	3256	10601
470	3264	10598
471	3271	10591
472	3277	10582
473	3285	10575
474	3292	10570
475	3299	10562
476	3306	10558
477	3314	10552
478	3321	10546
479	3327	10537
480	3334	10530
481	3341	10522
482	3348	10516
483	3352	10499
484	3359	10493
485	3366	10488
486	3373	10480
487	3379	10471
488	3386	10462
489	3393	10457
490	3401	10453
491	3408	10446
492	3415	10440
493	3422	10433
494	3430	10428
495	3435	10418
496	3442	10410
497	3449	10402
498	3454	10392
499	3461	10383
500	3467	10373
501	3473	10366
502	3480	10358
503	3487	10351
504	3493	10342
505	3500	10336
506	3508	10331
507	3515	10324
508	3521	10315
509	3529	10311
510	3536	10305
511	3543	10297
512	3550	10290
513	3556	10280
514	3563	10275
515	3569	10267
516	3577	10261
517	3583	10251
518	3589	10242
519	3596	10235
520	3603	10229
521	3610	10222
522	3616	10213
523	3624	10209
524	3631	10203
525	3637	10194
526	3644	10185
527	3650	10176
528	3657	10170
529	3664	10163
530	3671	10157
531	3677	10148
532	3684	10141
533	3692	10137
534	3699	10129
535	3706	10123
536	3713	10116
537	3720	10109
538	3726	10101
539	3732	10092
540	3740	10087
541	3747	10080
542	3754	10074
543	3761	10068
544	3768	10061
545	3775	10053
546	3781	10045
547	3789	10040
548	3797	10037
549	3804	10029
550	3811	10022
551	3817	10014
552	3824	10008
553	3830	9997
554	3837	9990
555	3843	9981
556	3850	9974
557	3855	9964
558	3862	9957
559	3870	9952
560	3876	9944
561	3882	9934
562	3888	9926
563	3896	9921
564	3904	9916
565	3911	9909
566	3917	9901
567	3924	9893
568	3932	9889
