iter	Logloss
0	0.6322499589
1	0.5588361588
2	0.5012517523
3	0.4511202887
4	0.4201735875
5	0.3757396164
6	0.3465182035
7	0.3217998579
8	0.2967928604
9	0.2802732272
10	0.2638338701
11	0.2531915571
12	0.2376942278
13	0.2277205274
14	0.2155172372
15	0.2050388454
16	0.1942236619
17	0.1884152985
18	0.1807338333
19	0.1745173666
20	0.1708251664
21	0.165243312
22	0.160572324
23	0.1566956142
24	0.153927199
25	0.150974201
26	0.1485669492
27	0.1462562092
28	0.1439836821
29	0.1421974022
30	0.1407098658
31	0.1391092592
32	0.1374748474
33	0.1369505425
34	0.1355386735
35	0.1341463359
36	0.1332277537
37	0.1327551193
38	0.13230841
39	0.1313578014
40	0.1305967193
41	0.1297885114
42	0.1288944775
43	0.1285317727
44	0.1279946164
45	0.1272324622
46	0.1268968461
47	0.1264246655
48	0.1261473391
49	0.1259199042
50	0.1254687781
51	0.1253172178
52	0.1250549328
53	0.1246145715
54	0.124314366
55	0.1239285233
56	0.1236723914
57	0.1234308959
58	0.1230697934
59	0.1228592337
60	0.1226678278
61	0.1225296702
62	0.1222281518
63	0.1220066995
64	0.1217700776
65	0.1215998419
66	0.1214625555
67	0.1213044248
68	0.1211637085
69	0.1210135829
70	0.1207751
71	0.1206128723
72	0.1205437509
73	0.1204031016
74	0.1202860564
75	0.1201539026
76	0.1200437871
77	0.1198125873
78	0.1197041716
79	0.1195429157
80	0.1193491246
81	0.1192278941
82	0.1191142726
83	0.1190224579
84	0.1189665534
85	0.1188451279
86	0.1187668195
87	0.1186450224
88	0.1185346541
89	0.1184206122
90	0.1182683574
91	0.1181169098
92	0.1179352422
93	0.1178258426
94	0.1177365409
95	0.117579056
96	0.1174772898
97	0.1174094782
98	0.1173207736
99	0.117225325
100	0.1171083284
101	0.1170129651
102	0.1168852373
103	0.1167932155
104	0.1166699715
105	0.1165867711
106	0.1165209668
107	0.1164853369
108	0.1164148112
109	0.1162719475
110	0.1161647745
111	0.1161052117
112	0.1160012249
113	0.1158368193
114	0.1157377611
115	0.1156384348
116	0.1155186237
117	0.1154493957
118	0.1153983314
119	0.1152849962
120	0.1152014516
121	0.1150465864
122	0.1149785981
123	0.1148694939
124	0.1147947525
125	0.1147141108
126	0.1146347393
127	0.1146034806
128	0.1144534281
129	0.1143833593
130	0.1143610225
131	0.1142577881
132	0.1141914051
133	0.1141469081
134	0.1140662024
135	0.1139878209
136	0.1138958022
137	0.11377473
138	0.1137066534
139	0.1136320825
140	0.1135261219
141	0.1134410543
142	0.1133583778
143	0.1132657011
144	0.1131403127
145	0.1130355339
146	0.1129508776
147	0.1128802879
148	0.1128024547
149	0.1127431782
150	0.1126080758
151	0.1124985665
152	0.1124139162
153	0.1122686491
154	0.1121047735
155	0.1120448756
156	0.1120404954
157	0.1119384764
158	0.1118566528
159	0.1117196558
160	0.1116308994
161	0.1115382379
162	0.1113996356
163	0.1112775186
164	0.111170568
165	0.1110156297
166	0.1109610684
167	0.1109254812
168	0.1108653609
169	0.1107830804
170	0.1107205751
171	0.1106194181
172	0.1105266135
173	0.1104752537
174	0.1103990654
175	0.110268395
176	0.1101482702
177	0.1100518955
178	0.1099983426
179	0.1099122104
180	0.1098635768
181	0.1097926125
182	0.1097214334
183	0.1096599911
184	0.1095219767
185	0.109456276
186	0.109427678
187	0.1093235831
188	0.1092806761
189	0.1092122325
190	0.1091980819
191	0.1091445945
192	0.1090573428
193	0.1090275751
194	0.1089626252
195	0.1089205209
196	0.1088029883
197	0.1087013927
198	0.1085818649
199	0.1085089343
200	0.1084383477
201	0.1083472915
202	0.1082673398
203	0.1081423397
204	0.1080391983
205	0.1079804045
206	0.1079492356
207	0.1079072227
208	0.1078318766
209	0.1077986409
210	0.1077269867
211	0.1076442127
212	0.1075504897
213	0.1074501567
214	0.1073703085
215	0.1072976689
216	0.1072088683
217	0.1071663528
218	0.1070769095
219	0.1070128247
220	0.1069472093
221	0.1068354262
222	0.1067918993
223	0.1066875074
224	0.1065857291
225	0.1064810448
226	0.1063920325
227	0.1062735023
228	0.1061784801
229	0.1061123849
230	0.1060553868
231	0.1059723266
232	0.1058820898
233	0.1058013735
234	0.10567132
235	0.1055630581
236	0.1054963369
237	0.1054336001
238	0.1053872221
239	0.1052812249
240	0.1051860535
241	0.1051513953
242	0.105088296
243	0.1050301526
244	0.1049823628
245	0.1048880381
246	0.1047856627
247	0.1047668898
248	0.1046834397
249	0.1045889795
250	0.1045216598
251	0.104452511
252	0.104350562
253	0.104311749
254	0.1042354221
255	0.1041881562
256	0.1041085669
257	0.104012372
258	0.1039517994
259	0.1038210681
260	0.1037238421
261	0.1036637797
262	0.1035524199
263	0.1034718239
264	0.1033737252
265	0.1033058725
266	0.1032174085
267	0.1031475316
268	0.1031215852
269	0.1030558601
270	0.1029893614
271	0.1029314251
272	0.1028929593
273	0.1028151962
274	0.1027573117
275	0.1026993282
276	0.1026378463
277	0.1026062738
278	0.1025594344
279	0.1024966564
280	0.1024423785
281	0.1023463237
282	0.1023145333
283	0.1022294794
284	0.1021612261
285	0.1021273614
286	0.1021047474
287	0.1020178019
288	0.1019760037
289	0.1018905462
290	0.1018587574
291	0.1017718819
292	0.1017617553
293	0.101682029
294	0.1016228194
295	0.1014944611
296	0.1014254843
297	0.101359645
298	0.1012588155
299	0.1012265485
300	0.1011329123
301	0.1010510004
302	0.1010045509
303	0.1009419891
304	0.1008933327
305	0.1008129911
306	0.1007522479
307	0.1006796189
